ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-02 16:00:00,15.395351106,18.20614456423001,30.941626279943968,15.395351106,15.395351106,9.169405703835341,9.169405703835341,9.169405703835341,5.606366712564471,5.606366712564471,5.606366712564471,4.263621787395548,4.263621787395548,4.263621787395548,-0.7005827961246753,-0.7005827961246753,-0.7005827961246753,0.0,0.0,0.0,24.56475680983534
2015-01-05 16:00:00,15.486422784537385,17.645063885345763,30.593948230928063,15.486422784537385,15.486422784537385,8.795281886299767,8.795281886299767,8.795281886299767,5.60636671343128,5.60636671343128,5.60636671343128,4.201546825057782,4.201546825057782,4.201546825057782,-1.0126316521892933,-1.0126316521892933,-1.0126316521892933,0.0,0.0,0.0,24.28170467083715
2015-01-06 16:00:00,15.516780010716515,18.072560124883168,30.830411608566944,15.516780010716515,15.516780010716515,8.71306436286581,8.71306436286581,8.71306436286581,5.606366715435468,5.606366715435468,5.606366715435468,4.206713184023132,4.206713184023132,4.206713184023132,-1.1000155365927913,-1.1000155365927913,-1.1000155365927913,0.0,0.0,0.0,24.229844373582324
2015-01-07 16:00:00,15.547137236895642,16.97304605306997,30.303336764936788,15.547137236895642,15.547137236895642,8.631460482426487,8.631460482426487,8.631460482426487,5.60636671432372,5.60636671432372,5.60636671432372,4.199958060349329,4.199958060349329,4.199958060349329,-1.1748642922465604,-1.1748642922465604,-1.1748642922465604,0.0,0.0,0.0,24.178597719322127
2015-01-08 16:00:00,15.577494463074771,17.7260174402483,31.053490692664038,15.577494463074771,15.577494463074771,8.569735539574685,8.569735539574685,8.569735539574685,5.606366713211971,5.606366713211971,5.606366713211971,4.1983178526840375,4.1983178526840375,4.1983178526840375,-1.2349490263213208,-1.2349490263213208,-1.2349490263213208,0.0,0.0,0.0,24.147230002649458
2015-01-09 16:00:00,15.607851689253902,17.607678037169343,30.82370838116401,15.607851689253902,15.607851689253902,8.59166802288763,8.59166802288763,8.59166802288763,5.606366712100218,5.606366712100218,5.606366712100218,4.263621787429353,4.263621787429353,4.263621787429353,-1.2783204766419447,-1.2783204766419447,-1.2783204766419447,0.0,0.0,0.0,24.19951971214153
2015-01-12 16:00:00,15.69892336779129,17.650397482537226,30.755341014015404,15.69892336779129,15.69892336779129,8.514106309550899,8.514106309550899,8.514106309550899,5.606366712967032,5.606366712967032,5.606366712967032,4.201546825090835,4.201546825090835,4.201546825090835,-1.2938072285069693,-1.2938072285069693,-1.2938072285069693,0.0,0.0,0.0,24.21302967734219
2015-01-13 16:00:00,15.729280593970419,17.97300904194324,30.846849535960402,15.729280593970419,15.729280593970419,8.555144798263166,8.555144798263166,8.555144798263166,5.606366714971221,5.606366714971221,5.606366714971221,4.206713183989556,4.206713183989556,4.206713183989556,-1.257935100697609,-1.257935100697609,-1.257935100697609,0.0,0.0,0.0,24.284425392233587
2015-01-14 16:00:00,15.759637820149546,17.50511839424686,31.338980286850706,15.759637820149546,15.759637820149546,8.605133304732213,8.605133304732213,8.605133304732213,5.606366713859469,5.606366713859469,5.606366713859469,4.199958060330897,4.199958060330897,4.199958060330897,-1.2011914694581562,-1.2011914694581562,-1.2011914694581562,0.0,0.0,0.0,24.36477112488176
2015-01-15 16:00:00,15.789995046328675,17.72163917272456,30.91043163585547,15.789995046328675,15.789995046328675,8.68066492035327,8.68066492035327,8.68066492035327,5.60636671274772,5.60636671274772,5.60636671274772,4.198317852630294,4.198317852630294,4.198317852630294,-1.1240196450247437,-1.1240196450247437,-1.1240196450247437,0.0,0.0,0.0,24.470659966681943
2015-01-16 16:00:00,15.820352272507805,18.318093223815847,31.263505577260744,15.820352272507805,15.820352272507805,8.84269266935096,8.84269266935096,8.84269266935096,5.606366712722095,5.606366712722095,5.606366712722095,4.263621787375805,4.263621787375805,4.263621787375805,-1.0272958307469406,-1.0272958307469406,-1.0272958307469406,0.0,0.0,0.0,24.663044941858765
2015-01-20 16:00:00,15.941781177224323,18.728188320812205,31.677348891580685,15.941781177224323,15.941781177224323,9.33667320555205,9.33667320555205,9.33667320555205,5.60636671450697,5.60636671450697,5.60636671450697,4.206713183955061,4.206713183955061,4.206713183955061,-0.4764066929099816,-0.4764066929099816,-0.4764066929099816,0.0,0.0,0.0,25.278454382776374
2015-01-21 16:00:00,15.97213840340345,18.81634553463122,31.72314697997089,15.97213840340345,15.97213840340345,9.497723518683083,9.497723518683083,9.497723518683083,5.606366713395223,5.606366713395223,5.606366713395223,4.199958060383868,4.199958060383868,4.199958060383868,-0.30860125509600733,-0.30860125509600733,-0.30860125509600733,0.0,0.0,0.0,25.469861922086533
2015-01-22 16:00:00,16.00249562958258,18.74392025319126,31.834253635372686,16.00249562958258,16.00249562958258,9.67059026973388,9.67059026973388,9.67059026973388,5.6063667122834735,5.6063667122834735,5.6063667122834735,4.198317852649066,4.198317852649066,4.198317852649066,-0.13409429519866023,-0.13409429519866023,-0.13409429519866023,0.0,0.0,0.0,25.67308589931646
2015-01-23 16:00:00,16.032852855761707,19.506517120256763,32.80124772112212,16.032852855761707,16.032852855761707,9.91410202505319,9.91410202505319,9.91410202505319,5.60636671428766,5.60636671428766,5.60636671428766,4.263621787412688,4.263621787412688,4.263621787412688,0.04411352335284255,0.04411352335284255,0.04411352335284255,0.0,0.0,0.0,25.946954880814896
2015-01-26 16:00:00,16.123924534299096,20.102172672900455,32.80233780365952,16.123924534299096,16.123924534299096,10.377759843952063,10.377759843952063,10.377759843952063,5.606366712038535,5.606366712038535,5.606366712038535,4.201546825092721,4.201546825092721,4.201546825092721,0.5698463068208084,0.5698463068208084,0.5698463068208084,0.0,0.0,0.0,26.50168437825116
2015-01-27 16:00:00,16.154281760478224,19.922440237740606,33.14482045112743,16.154281760478224,16.154281760478224,10.544909179358148,10.544909179358148,10.544909179358148,5.60636671404272,5.60636671404272,5.60636671404272,4.206713183965388,4.206713183965388,4.206713183965388,0.73182928135004,0.73182928135004,0.73182928135004,0.0,0.0,0.0,26.69919093983637
2015-01-28 16:00:00,16.18463898665735,20.351068659463596,33.12512361590166,16.18463898665735,16.18463898665735,10.688601038189251,10.688601038189251,10.688601038189251,5.606366714017096,5.606366714017096,5.606366714017096,4.199958060310104,4.199958060310104,4.199958060310104,0.8822762638620515,0.8822762638620515,0.8822762638620515,0.0,0.0,0.0,26.873240024846602
